ID,ORGN,DSTN
480,EIKENFONTEIN,BLOEKOMBOS
481,EIKENFONTEIN,BELLVILLE
482,KRAAIFONTEIN,DURBANVILLE
483,BLACKHEATH,DENNEGEUR
484,BLACKHEATH,BELLVILLE
485,MUTUAL,NYANGA
486,WYNBERG,CONSTANTIA
487,ATHLONE,HANOVER PARK
488,ATHLONE,HANOVER PARK
489,ATHLONE,HANOVER PARK
490,ATHLONE,HANOVER PARK
491,BRENTWOOD PARK,KUILSRIVER
492,TABLE VIEW,CAPE TOWN
493,TABLE VIEW,KOEBERG
494,TABLE VIEW,YSTERPLAAT STATION
495,TABLE VIEW,KOEBERG
496,SAREPTA,KUILSRIVER
497,SAREPTA,BELLVILLE
498,KUILSRIVER,INDUSTRIAL AREA
499,KUILSRIVER,KALKFONTEIN
500,KUILSRIVER,KALKFONTEIN
501,KUILSRIVER,"BOTTELARY RD,KUILSRIVER"
502,KUILSRIVER STATION,BELLVILLE
503,KUILSRIVER STATION,"INDUSTRIAL AREA,KUILSRIVER"
504,KUILSRIVER STATION,KALKFONTEIN
505,BLACKHEATH RAILWAY STATION,HAPPY VALLEY
506,BLACKHEATH RAILWAY STATION,KUILSRIVER
507,MELTON ROSE,PINEPLACE
508,MELTON ROSE,EERSTERIVIER
509,ELSIES RIVER,MATROOSFONTEIN
510,THE HAGUE,BELLVILLE
511,MALIBU VILLAGE,MITCHELLS PLAIN
512,ELSIES RIVER,EINDHOVEN
513,NETREG STATION,"SANLAM CENTRE ,PAROW"
514,MONTANA,ELSIES RIVER
515,UNIBELL,THE HAGUE
516,UNIBELL,VOORBRUG
517,UNIBELL,EINDHOVEN
518,ELSIES RIVER,N1 CITY
519,BELLVILLE,WELGEMOED
520,BELLVILLE,WELGEMOED
521,CAPE TOWN,BONTEHEUWEL
522,SAREPTA,KUILSRIVER STATION
523,KUILSRIVER,BELLVILLE
524,KUILSRIVER STATION,SAREPTA
525,KHAYELITSHA,CAPE TOWN
526,CLAREMONT,NYANGA
527,NYANGA,MOWBRAY
528,KHAYELITSHA,SOMERSET WEST
529,LENTEGEUR STATION,WESTGATE MALL
530,GATESVILLE,NYANGA
531,TABLE VIEW,KOEBERG RAILWAY STATION
532,CLAREMONT,CAPE TOWN
533,CLAREMONT,WYNBERG
534,SEA POINT,GREEN POINT
535,CAPE TOWN,"DOCK RD,CAPE TOWN"
536,CAPE TOWN,GREEN POINT
537,N1 CITY,BOTHASIG
538,VASCO,N1 CITY
539,N1 CITY,GOODWOOD
540,N1 CITY,CAPE TOWN
541,CAPE TOWN,WYNBERG
542,CAPE TOWN,CAMPS BAY
543,SOMERSET WEST,STRAND
544,SOMERSET WEST,STRAND
545,SOMERSET WEST,RUSTHOF
546,SOMERSET WEST,CASSABLANCA
547,SIR LOWRYS PASS TOWN,SOMERSET WEST
548,SIR LOWRYS PASS TOWN,STRAND
549,SIR LOWRYS PASS TOWN,GORDONS BAY
550,SIR LOWRYS PASS TOWN,LWANDLE
551,CAPE TOWN,BONTEHEUWEL
552,CAPE TOWN,BONTEHEUWEL
553,FIRGROVE,SOMERSET WEST
554,MATROOSFONTEIN,ELSIES RIVER
555,TABLE VIEW,KOEBERG RAILWAY STATION
556,TABLE VIEW,KOEBERG RAILWAY STATION
557,BRACKENFELL,"CRAMMIX RD,BRACKENFELL"
558,VASCO,BOTHASIG
559,ELSIES RIVER,BISHOP LAVIS
560,KILLARNEY,CAPE TOWN
561,KILLARNEY,KOEBERG RAILWAY STATION
562,KILLARNEY,YSTERPLAAT
563,KILLARNEY,YSTERPLAAT
564,KILLARNEY,KOEBERG RAILWAY STATION
565,KILLARNEY,KOEBERG RAILWAY STATION
566,KILLARNEY,MORNINGSTAR
567,DOLPHIN BEACH,KOEBERG RAILWAY STATION
568,HANOVER PARK,WYNBERG
569,WYNBERG,HANOVER PARK
570,DELFT,ELSIES RIVER
571,GORDONS BAY,STRAND
