ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
APC8,PHILIPPI EAST SAP to DURBANVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APC8,PHILIPPI EAST SAP to DURBANVILLE,LAST,Durbanville,Station,18.6515231852988,-33.8273989225887
APC9,VREDEKLOOF to PHILIPPI EAST SAP,FIRST,On Brighton Road after Okavango,Stop,18.700549419168,-33.8384094361942
APC9,VREDEKLOOF to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APD0,KILLARNEY to PHILIPPI EAST SAP,FIRST,Killarney,Station,18.525361880339,-33.8333067217032
APD0,KILLARNEY to PHILIPPI EAST SAP,LAST,On New Eisleben Road after Lansdowne,Stop,18.5926654921771,-34.0014312124327
APD2,PHILIPPI EAST SAP to BELLVILLE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APD2,PHILIPPI EAST SAP to BELLVILLE,LAST,Bellville,Station,18.6298174453258,-33.9058781585298
APD3,BELLVILLE A LANE to PHILIPPI EAST SAP,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
APD3,BELLVILLE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
APD5,BELLVILLE A LANE to PHILIPPI EAST SAP,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
APD5,BELLVILLE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APD6,PHILIPPI EAST SAP to NYANGA TERM,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APD6,PHILIPPI EAST SAP to NYANGA TERM,LAST,Nyanga Central,Station,18.5833583259872,-33.9921954955436
APD7,NYANGA TERM to PHILIPPI EAST SAP,FIRST,Nyanga Central,Station,18.5833583259872,-33.9921954955436
APD7,NYANGA TERM to PHILIPPI EAST SAP,LAST,On Sheffield Road 2nd after Stock,Stop,18.6096464950495,-34.0066970699956
