route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
RRA0;RRA1;RRA3;RRB0;RRF9;RRI0,55,MACASSAR,SOMERSET WEST,
RRC5;RRG0;RRG1;RUA6,55,FIRGROVE,KARL BREMER HOSP,
RRC6,55,FIRGROVE,PEPCOR FACTORY,
RRC7,55,FIRGROVE,TYGERBERG HOSP,
RRD0;RRF2,55,KARL BREMER HOSP,SOMERSET WEST,
RRD5,55,SOMERSET WEST,TYGERBERG STN,
KSF1,56,LWANDLE,MACASSAR,
RPA0;RPA1,56,STRAND,TEMPERANCE TOWN,
RQB4;RQA6;RQB1,56,MACASSAR,STRAND,
RRA0;RRA1;RRA3;RRB0;RRF9;RRI0,56,MACASSAR,SOMERSET WEST,
RSA0;RSA1,56,LWANDLE,SOMERSET WEST,
RPB6,56,MACASSAR,TEMPERANCE TOWN,
MIA0,57,TOWN CENTRE,WESTGATE MALL,
MIA2,57,NEW WOODLANDS,TOWN CENTRE,
MIC2,57,MERRYDALE AVE,TOWN CENTRE,
MIB1,57,LEAGUES,TOWN CENTRE,
APD7;APD6,58,NYANGA TERM,PHILIPPI EAST SAP,
KMD3;KSE5;KSI8;KSK9;KSA5;KSG7;KSC7;KSC3;RVA4;RVD3;RVB7;KSA4,58,NYANGA TERM,SOMERSET WEST,
KSA0;KSA1;KSI0,58,LWANDLE,SITE C,
KSA6;KSB2;KSC4;KSC5;KSI4,58,MFULENI,STRAND,
KSA7;KSL2,58,LWANDLE,MFULENI,
KSB1;KSE8,58,HARARE,SOMERSET WEST,
KSB4;KSD1,58,SITE C,STRAND,
KSB5;RVB8,58,MFULENI,SOMERSET WEST,
KSB9,58,HARARE,SOMERSET MALL,
KSC9;KSA2,58,SOMERSET WEST,VILLAGE 3,
KSD0,58,MFULENI,SOMERSET MALL,
KSE2;KSE3;KSE6;KSF2,58,SITE C,SOMERSET WEST,
KSF0;KSG2;KSG3,58,MAKHAZA,SOMERSET WEST,
KSF4,58,HELDERBERG VILLAGE,SITE C,
KSF7,58,MAKHAZA,SOMERSET MALL,
KSH8,58,LWANDLE,VILLAGE 3,
KSJ0,58,HELDERBERG VILLAGE,PHILIPPI EAST SAP,
KSK2;KSD2;KSL4,58,LWANDLE,NYANGA TERM,
KSK8,58,HARARE,LWANDLE,
KXA2;KXA1,58,KHAYELITSHA,MAKHAZA,
RRA4,58,HELDERBERG VILLAGE,SOMERSET WEST,
RSA0;RSA1,58,LWANDLE,SOMERSET WEST,
RVA2,58,EINDHOVEN,SOMERSET WEST,
KSI6,58,NYANGA TERM,STRAND,
KSI2,58,HELDERBERG VILLAGE,NYANGA TERM,
KKF9;KKD6,58,STRAND,HARARE,
APF2;APF3,59,BOYSTOWN,NYANGA TERM,
BYA4;BYA2;BUA0;BYA1;BYA0,59,NYANGA TERM,RONDEBOSCH,
BYB6;BYB8;BYC3;BYA7;BYA8;BYB9;BYC2;BYA6,59,CLAREMONT,NYANGA TERM,
BYE4;BYE2,59,C/O NY 78 & NY 3,RONDEBOSCH,
FUA4;FUA0;FUA1;FUA2,59,CLAREMONT,RONDEBOSCH,
BYC7,59,CROSS RDS,RONDEBOSCH,
BYE6,59,BOYSTOWN,RONDEBOSCH,
BUA3,59,GUGULETU,RONDEBOSCH,
DGA0;DGA1;DGA2;DGA3;DGA4;DGA5;DGA8;DGC1;DGC6;DGC7;DGB2,60,NYANGA TERM,WYNBERG,
DGA6,60,CNR. NY 5/NY 78,WYNBERG,
KXA3;KXD2;YEC4;YEK6;YEM2,61,MAKHAZA,TOWN CENTRE,
MIC2,61,MERRYDALE AVE,TOWN CENTRE,
KCC9;KCA5;KCB7;KCA3;KCB9;KCA8;KCA2,61,CLAREMONT,MAKHAZA,
APA9;APA8,61,CLAREMONT,PHILIPPI,
MHB2;MHB9;MHC2;MHD3;MHC8;MHG0;MHG4;MHH0;MHI2;MHD2;MHB8;MHG5;MHG1;MHB1;MHJ0;MHA4;MHA2;MHH6;MHA3,61,CLAREMONT,TOWN CENTRE,
MIE3;MIE0;MIE2,61,PHILIPPI,TOWN CENTRE,
ORA0,61,PHILIPPI,TOWN CENTRE,
AFA8,62,BELLVILLE,SACKS CIRCLE,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,62,BELLVILLE,NYANGA TERM,
KBA3;KBC6;KBC7;KBD3;KBJ5;KBK6;KBA2;KBJ4;KBK8;KBP7;KBP9;KBH7,62,BELLVILLE,VILLAGE 3,
