LONGITUD_1,Latitude,StationNAm,OID_,Rank,Name,LATITUDE_1,PLACENAM_3,Station__1,StationOwn,Total,StationID,RegionID,OBJECTID,ENTITY_1,SubRegion,StationI_1,REMARKS_1,Station,STATIONCAT,Longitude,PLACENAM_2,Address
18.4584199,-34.119310999869384,ST JAMES,246,323,ST JAMES,-34.11931076,ST JAMES,STJ,PRASA STATION,1210268.5,STJ,WC,59,PRASA,Western Cape,STJ, ,ST JAMES,Small,18.45841999949138,ST JAMES,"St James, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7990, South Africa"
18.46368894,-34.076405000601255,STEENBERG,247,80,STEENBERG,-34.07640506,STEENBERG,STX,PRASA STATION,1209550,STX,WC,60,PRASA,Western Cape,STX, ,STEENBERG,Intermediate,18.46368900001791,STEENBERG,"Henley Road, Cape Town Ward 68, City of Cape Town, Western Cape, 7945, South Africa"
18.46890772,-34.02883599981641,STEURHOF,245,275,STEURHOF,-34.02883585,STEURHOF,STH,PRASA STATION,1189452.8,STH,WC,61,PRASA,Western Cape,STH, ,STEURHOF,Small,18.46890800011504,STEURHOF,"Steurhof, Prince Avenue, Dieprivier, Cape Town Ward 73, City of Cape Town, Western Cape, 7800, South Africa"
18.65636569,-33.9047679999943,STIKLAND,235,159,STIKLAND,-33.90476767,STIKLAND,SKD,TRANSNET STATION BUT USED ONLY BY METRORAIL,1181548.5,SKD,WC,62,PRASA,Western Cape,SKD, ,STIKLAND,Small,18.656365999725168,STIKLAND,"Francis Road, Shirley Park, Cape Town Ward 3, Bellville, City of Cape Town, Western Cape, 7532, South Africa"
18.83245655,-34.11502599932568,STRAND,243,94,STRAND,-34.11502618,STRAND,STD,PRASA STATION/SMEYL,1151356.7,STD,WC,63,PRASA,Western Cape,STD, ,STRAND,Intermediate,18.832456999829542,STRAND,"Strand, Main Road, Park Estates, Cape Town Ward 83, Strand, City of Cape Town, Western Cape, 7140, South Africa"
18.53244688,-33.91890499996771,THORNTON,253,225,THORNTON,-33.91890457,THORNTON,THO,PRASA STATION,998195.3,THO,WC,64,PRASA,Western Cape,THO, ,THORNTON,Small,18.532446999721156,THORNTON,"Thornton, Forest Drive, Cape Town Ward 53, City of Cape Town, Western Cape, 7535, South Africa"
18.60151441,-33.90738799997662,TYGERBERG,259,62,TYGERBERG,-33.90738777,TYGERBERG,TYG,PRASA STATION,857597.3,TYG,WC,65,PRASA,Western Cape,TYG, ,TYGERBERG,Intermediate,18.60151400044679,TYGERBERG,"Tygerberg, Parow Centre Parking, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7501, South Africa"
18.62858013,-33.93704400031142,UNIBELL,260,145,UNIBELL,-33.93704387,UNIBELL,UBL,PRASA STATION,715910.8,UBL,WC,66,PRASA,Western Cape,UBL, ,UNIBELL,Small,18.628580000053518,UNIBELL,"Unibell, University Avenue, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7493, South Africa"
18.85283712,-34.09503999974023,VAN DER STEL,275,87,VAN DER STEL,-34.09504019,VAN DER STEL,VSL,PRASA STATION,696037.4,VSL,WC,67,PRASA,Western Cape,VSL, ,VAN DER STEL,Intermediate,18.85283700011667,VAN DER STEL,"Carwick, Cape Town Ward 84, Strand, City of Cape Town, Western Cape, 7136, South Africa"
18.55842878,-33.91121499930243,VASCO,276,106,VASCO,-33.91121508,VASCO,VSO,PRASA STATION,672974.3,VSO,WC,68,PRASA,Western Cape,VSO, ,VASCO,Intermediate,18.558428999964722,VASCO,"Vasco, Voortrekker Road, Vasco, Goodwood, Parow, City of Cape Town, Western Cape, 7460, South Africa"
18.50103733,-34.00190599986148,WETTON,288,227,WETTON,-34.00190625,WETTON,WTN,PRASA STATION,383879.6,WTN,WC,69,PRASA,Western Cape,WTN, ,WETTON,Small,18.501037000435417,WETTON,"Wetton, Wetton Road, Cape Town Ward 63, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
18.47070858,-34.01404400036911,WITTEBOME,286,194,WITTEBOME,-34.01404427,WITTEBOME,WTE,PRASA STATION,294888.3,WTE,WC,70,PRASA,Western Cape,WTE, ,WITTEBOME,Small,18.47070899991831,WITTEBOME,"Wittebome, Castletown Road, Wynberg, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
18.44560757,-33.92548299985669,WOODSTOCK,279,148,WOODSTOCK,-33.92548285,WOODSTOCK,WDC,PRASA STATION,166988.5,WDC,WC,71,PRASA,Western Cape,WDC, ,WOODSTOCK,Intermediate,18.445608000309132,WOODSTOCK,"Woodstock, Davison Road, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
18.47121659,-34.00485600001645,WYNBERG,290,25,WYNBERG,-34.00485641,WYNBERG,WYB,PRASA STATION,116009.1,WYB,WC,72,PRASA,Western Cape,WYB, ,WYNBERG,Core,18.4712170001432,WYNBERG,"Wynberg, Broad Road, Wynberg, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
18.47684483,-33.91992100042045,YSTERPLAAT,291,143,YSTERPLAAT,-33.91992113,YSTERPLAAT,YPT,PRASA STATION,1710,YPT,WC,73,PRASA,Western Cape,YPT, ,YSTERPLAAT,Intermediate,18.476844999171142,YSTERPLAAT,"Ysterplaat, FW de Klerk Boulevard, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
,-33.922422,,,,CAPE TOWN,,,,,,,,,,,,,,,18.426352,,"Cape Town Station, 1, Adderley Street, Foreshore, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8000, South Africa"
,-33.9008749,,,,CENTURY CITY,,,,,,,,,,,,,,,18.5123408,,"Century City, Sable Road, Acacia Park, Goodwood, Milnerton, City of Cape Town, Western Cape, 7446, South Africa"
,-34.047143,,,,CHRIS HANI,,,,,,,,,,,,,,,18.705806,,"Chris Hani Secondary School, 2, Cekeca Road, Umrhabulo Triangle (Makhaza), Cape Town Ward 96, City of Cape Town, Western Cape, 7784, South Africa"
,-33.703437,,,,DAL JOSAFAT,,,,,,,,,,,,,,,19.001629,,"Bo-dal Josafat, Greenside, Drakenstein Ward 32, Paarl, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7620, South Africa"
