route_number,day_type,Civic Centre,Adderley,Groote Kerk,Dorp,Upper Long,Lower Kloof,Ludwigs Garden,Belle Ombre,St Michaels,Cotswold,Higgo,Kloof Nek,Comrie,Atholl,Woodford,Quebec,Camps Bay
107,Saturdays,11:49,11:53,11:57,12:01,12:02,12:04,12:06,12:08,12:10,12:11,12:13,12:14,12:17,12:18,12:19,12:20,12:22
107,Saturdays,12:07,12:11,12:15,12:19,12:20,12:22,12:24,12:26,12:28,12:29,12:31,12:32,12:35,12:36,12:37,12:38,12:40
107,Saturdays,12:25,12:29,12:33,12:37,12:38,12:40,12:42,12:44,12:46,12:47,12:49,12:50,12:53,12:54,12:55,12:56,12:58
107,Saturdays,12:43,12:47,12:51,12:55,12:56,12:58,13:00,13:02,13:04,13:05,13:07,13:08,13:11,13:12,13:13,13:14,13:16
107,Saturdays,13:01,13:05,13:09,13:13,13:14,13:16,13:18,13:20,13:22,13:23,13:25,13:26,13:29,13:30,13:31,13:32,13:34
107,Saturdays,13:19,13:23,13:27,13:31,13:32,13:34,13:36,13:38,13:40,13:41,13:43,13:44,13:47,13:48,13:49,13:50,13:52
107,Saturdays,13:37,13:41,13:45,13:49,13:50,13:52,13:54,13:56,13:58,13:59,14:01,14:02,14:05,14:06,14:07,14:08,14:10
107,Saturdays,13:55,13:59,14:03,14:07,14:08,14:10,14:12,14:14,14:16,14:17,14:19,14:20,14:23,14:24,14:25,14:26,14:28
107,Saturdays,14:13,14:17,14:21,14:25,14:26,14:28,14:30,14:32,14:34,14:35,14:37,14:38,14:41,14:42,14:43,14:44,14:46
107,Saturdays,14:31,14:35,14:39,14:43,14:44,14:46,14:48,14:50,14:52,14:53,14:55,14:56,14:59,15:00,15:01,15:02,15:04
107,Saturdays,14:49,14:53,14:57,15:01,15:02,15:04,15:06,15:08,15:10,15:11,15:13,15:14,15:17,15:18,15:19,15:20,15:22
107,Saturdays,15:07,15:11,15:15,15:19,15:20,15:22,15:24,15:26,15:28,15:29,15:31,15:32,15:35,15:36,15:37,15:38,15:40
107,Saturdays,15:25,15:29,15:33,15:37,15:38,15:40,15:42,15:44,15:46,15:47,15:49,15:50,15:53,15:54,15:55,15:56,15:58
107,Saturdays,15:43,15:47,15:51,15:55,15:56,15:58,16:00,16:02,16:04,16:05,16:07,16:08,16:11,16:12,16:13,16:14,16:16
107,Saturdays,16:01,16:05,16:09,16:13,16:14,16:16,16:18,16:20,16:22,16:23,16:25,16:26,16:29,16:30,16:31,16:32,16:34
107,Saturdays,16:19,16:23,16:27,16:31,16:32,16:34,16:36,16:38,16:40,16:41,16:43,16:44,16:47,16:48,16:49,16:50,16:52
107,Saturdays,16:37,16:41,16:45,16:49,16:50,16:52,16:54,16:56,16:58,16:59,17:01,17:02,17:05,17:06,17:07,17:08,17:10
107,Saturdays,16:55,16:59,17:03,17:07,17:08,17:10,17:12,17:14,17:16,17:17,17:19,17:20,17:23,17:24,17:25,17:26,17:28
107,Saturdays,17:13,17:17,17:21,17:25,17:26,17:28,17:30,17:32,17:34,17:35,17:37,17:38,17:41,17:42,17:43,17:44,17:46
107,Saturdays,17:31,17:35,17:39,17:43,17:44,17:46,17:48,17:50,17:52,17:53,17:55,17:56,17:59,18:00,18:01,18:02,18:04
107,Saturdays,17:49,17:53,17:57,18:01,18:02,18:04,18:06,18:08,18:10,18:11,18:13,18:14,18:17,18:18,18:19,18:20,18:22
107,Saturdays,18:07,18:11,18:15,18:19,18:20,18:22,18:24,18:26,18:28,18:29,18:31,18:32,18:35,18:36,18:37,18:38,18:40
107,Saturdays,18:25,18:29,18:33,18:37,18:38,18:40,18:42,18:44,18:46,18:47,18:49,18:50,18:53,18:54,18:55,18:56,18:58
107,Saturdays,18:43,18:47,18:51,18:55,18:56,18:58,19:00,19:02,19:04,19:05,19:07,19:08,19:11,19:12,19:13,19:14,19:16
107,Saturdays,19:01,19:05,19:09,19:13,19:14,19:16,19:18,19:20,19:22,19:23,19:25,19:26,19:29,19:30,19:31,19:32,19:34
107,Saturdays,19:19,19:23,19:27,19:31,19:32,19:34,19:36,19:38,19:40,19:41,19:43,19:44,19:47,19:48,19:49,19:50,19:52
107,Sundays and Public Holidays,05:49,05:53,05:57,06:01,06:02,06:04,06:06,06:08,06:10,06:11,06:13,06:14,06:17,06:18,06:19,06:20,06:22
107,Sundays and Public Holidays,06:07,06:11,06:15,06:19,06:20,06:22,06:24,06:26,06:28,06:29,06:31,06:32,06:35,06:36,06:37,06:38,06:40
107,Sundays and Public Holidays,06:25,06:29,06:33,06:37,06:38,06:40,06:42,06:44,06:46,06:47,06:49,06:50,06:53,06:54,06:55,06:56,06:58
107,Sundays and Public Holidays,06:43,06:47,06:51,06:55,06:56,06:58,07:00,07:02,07:04,07:05,07:07,07:08,07:11,07:12,07:13,07:14,07:16
107,Sundays and Public Holidays,07:01,07:05,07:09,07:13,07:14,07:16,07:18,07:20,07:22,07:23,07:25,07:26,07:29,07:30,07:31,07:32,07:34
107,Sundays and Public Holidays,07:19,07:23,07:27,07:31,07:32,07:34,07:36,07:38,07:40,07:41,07:43,07:44,07:47,07:48,07:49,07:50,07:52
107,Sundays and Public Holidays,07:37,07:41,07:45,07:49,07:50,07:52,07:54,07:56,07:58,07:59,08:01,08:02,08:05,08:06,08:07,08:08,08:10
107,Sundays and Public Holidays,07:55,07:59,08:03,08:07,08:08,08:10,08:12,08:14,08:16,08:17,08:19,08:20,08:23,08:24,08:25,08:26,08:28
107,Sundays and Public Holidays,08:13,08:17,08:21,08:25,08:26,08:28,08:30,08:32,08:34,08:35,08:37,08:38,08:41,08:42,08:43,08:44,08:46
107,Sundays and Public Holidays,08:31,08:35,08:39,08:43,08:44,08:46,08:48,08:50,08:52,08:53,08:55,08:56,08:59,09:00,09:01,09:02,09:04
107,Sundays and Public Holidays,08:49,08:53,08:57,09:01,09:02,09:04,09:06,09:08,09:10,09:11,09:13,09:14,09:17,09:18,09:19,09:20,09:22
107,Sundays and Public Holidays,09:07,09:11,09:15,09:19,09:20,09:22,09:24,09:26,09:28,09:29,09:31,09:32,09:35,09:36,09:37,09:38,09:40
107,Sundays and Public Holidays,09:25,09:29,09:33,09:37,09:38,09:40,09:42,09:44,09:46,09:47,09:49,09:50,09:53,09:54,09:55,09:56,09:58
107,Sundays and Public Holidays,09:43,09:47,09:51,09:55,09:56,09:58,10:00,10:02,10:04,10:05,10:07,10:08,10:11,10:12,10:13,10:14,10:16
107,Sundays and Public Holidays,10:01,10:05,10:09,10:13,10:14,10:16,10:18,10:20,10:22,10:23,10:25,10:26,10:29,10:30,10:31,10:32,10:34
107,Sundays and Public Holidays,10:19,10:23,10:27,10:31,10:32,10:34,10:36,10:38,10:40,10:41,10:43,10:44,10:47,10:48,10:49,10:50,10:52
107,Sundays and Public Holidays,10:37,10:41,10:45,10:49,10:50,10:52,10:54,10:56,10:58,10:59,11:01,11:02,11:05,11:06,11:07,11:08,11:10
107,Sundays and Public Holidays,10:55,10:59,11:03,11:07,11:08,11:10,11:12,11:14,11:16,11:17,11:19,11:20,11:23,11:24,11:25,11:26,11:28
107,Sundays and Public Holidays,11:13,11:17,11:21,11:25,11:26,11:28,11:30,11:32,11:34,11:35,11:37,11:38,11:41,11:42,11:43,11:44,11:46
107,Sundays and Public Holidays,11:31,11:35,11:39,11:43,11:44,11:46,11:48,11:50,11:52,11:53,11:55,11:56,11:59,12:00,12:01,12:02,12:04
107,Sundays and Public Holidays,11:49,11:53,11:57,12:01,12:02,12:04,12:06,12:08,12:10,12:11,12:13,12:14,12:17,12:18,12:19,12:20,12:22
107,Sundays and Public Holidays,12:07,12:11,12:15,12:19,12:20,12:22,12:24,12:26,12:28,12:29,12:31,12:32,12:35,12:36,12:37,12:38,12:40
107,Sundays and Public Holidays,12:25,12:29,12:33,12:37,12:38,12:40,12:42,12:44,12:46,12:47,12:49,12:50,12:53,12:54,12:55,12:56,12:58
107,Sundays and Public Holidays,12:43,12:47,12:51,12:55,12:56,12:58,13:00,13:02,13:04,13:05,13:07,13:08,13:11,13:12,13:13,13:14,13:16
107,Sundays and Public Holidays,13:01,13:05,13:09,13:13,13:14,13:16,13:18,13:20,13:22,13:23,13:25,13:26,13:29,13:30,13:31,13:32,13:34
107,Sundays and Public Holidays,13:19,13:23,13:27,13:31,13:32,13:34,13:36,13:38,13:40,13:41,13:43,13:44,13:47,13:48,13:49,13:50,13:52
107,Sundays and Public Holidays,13:37,13:41,13:45,13:49,13:50,13:52,13:54,13:56,13:58,13:59,14:01,14:02,14:05,14:06,14:07,14:08,14:10
107,Sundays and Public Holidays,13:55,13:59,14:03,14:07,14:08,14:10,14:12,14:14,14:16,14:17,14:19,14:20,14:23,14:24,14:25,14:26,14:28
107,Sundays and Public Holidays,14:13,14:17,14:21,14:25,14:26,14:28,14:30,14:32,14:34,14:35,14:37,14:38,14:41,14:42,14:43,14:44,14:46
107,Sundays and Public Holidays,14:31,14:35,14:39,14:43,14:44,14:46,14:48,14:50,14:52,14:53,14:55,14:56,14:59,15:00,15:01,15:02,15:04
107,Sundays and Public Holidays,14:49,14:53,14:57,15:01,15:02,15:04,15:06,15:08,15:10,15:11,15:13,15:14,15:17,15:18,15:19,15:20,15:22
107,Sundays and Public Holidays,15:07,15:11,15:15,15:19,15:20,15:22,15:24,15:26,15:28,15:29,15:31,15:32,15:35,15:36,15:37,15:38,15:40
107,Sundays and Public Holidays,15:25,15:29,15:33,15:37,15:38,15:40,15:42,15:44,15:46,15:47,15:49,15:50,15:53,15:54,15:55,15:56,15:58
