trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,LAVISTOWN,BELHAR,UNIBELL,PENTECH,SAREPTA,BELLVILLE
9024,SATURDAYS,inbound,S10,17:36,17:31,17:27,17:21,17:17,17:14,17:09,17:05,17:02,17:00,16:57,16:50
9026,SATURDAYS,inbound,S10,19:28,19:23,19:19,19:13,19:09,19:06,19:01,18:57,18:54,18:52,18:49,18:42
9005,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,09:07,09:11,09:15,09:20,09:25,09:29,09:33,09:37,09:40,09:43,09:46,09:52
9007,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,11:10,11:14,11:18,11:23,11:28,11:32,11:36,11:40,11:43,11:46,11:49,11:55
9009,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,13:05,13:09,13:13,13:18,13:23,13:27,13:31,13:35,13:38,13:41,13:44,13:50
9011,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,14:50,14:54,14:58,15:03,15:08,15:12,15:16,15:20,15:23,15:26,15:29,15:35
9013,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,16:50,16:54,16:58,17:03,17:08,17:12,17:16,17:20,17:23,17:26,17:29,17:35
9015,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,18:30,18:34,18:38,18:43,18:48,18:52,18:56,19:00,19:03,19:06,19:09,19:15
9002,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,,,,06:16,06:12,06:09,06:04,06:00,05:57,05:55,05:52,05:45
9004,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,08:08,08:03,07:59,07:53,07:49,07:46,07:41,07:37,07:34,07:32,07:29,07:22
9006,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,09:31,09:26,09:22,09:16,09:12,09:09,09:04,09:00,08:57,08:55,08:52,08:45
9008,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,10:56,10:51,10:47,10:41,10:37,10:34,10:29,10:25,10:22,10:20,10:17,10:10
9010,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,12:56,12:51,12:47,12:41,12:37,12:34,12:29,12:25,12:22,12:20,12:17,12:10
9012,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,15:01,14:56,14:52,14:46,14:42,14:39,14:34,14:30,14:27,14:25,14:22,14:15
9014,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S10,16:36,16:31,16:27,16:21,16:17,16:14,16:09,16:05,16:02,16:00,15:57,15:50
9004,MONDAYS TO FRIDAYS,inbound,S10,06:33,06:28,06:24,06:18,06:14,06:11,06:06,06:03,06:00,05:58,05:55,05:48
9006,MONDAYS TO FRIDAYS,inbound,S10,07:00,06:55,06:51,06:45,06:41,06:36,06:31,06:28,06:25,06:23,06:20,06:13
9008,MONDAYS TO FRIDAYS,inbound,S10,07:27,07:22,07:18,07:12,07:08,07:05,06:59,06:56,06:53,06:51,06:48,06:41
9001,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,,,,06:28,06:32,06:36,06:40,06:44,06:47,06:50,06:53,06:59
9003,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S10,07:45,07:49,07:53,07:58,08:03,08:07,08:11,08:15,08:18,08:21,08:24,08:30
